epoch,training/train_loss_mean,evaluation/eval_return,evaluation/eval_time,time/total
0,1.4539760504615709,8.0,93.87986755371094,932.9025461673737
1,1.329519751890655,7.0,357.1753354072571,2131.0683147907257
2,1.301522569500192,8.0,309.414226770401,3606.820048570633
3,1.2777729322380762,23.0,347.8649899959564,5111.361377000809
4,1.2564847583414467,7.0,284.52940034866333,6550.184670209885
